Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
ABoVE;Arctic-Boreal Vulnerability Experiment;Large-scale field campain focused on environmental change, vulnerability, and resilience of Arctic and boreal ecosystems and implications for societal responses at local to international levels;ABoVE’s science objectives are broadly focused on (1) gaining a better understanding of the vulnerability and resilience of Arctic and boreal ecosystems to environmental change in western North America, and (2) providing the scientific basis for informed decision-making to guide societal responses at local to international levels. Research for ABoVE will link field-based, process-level studies with geospatial data products derived from airborne and satellite sensors, providing a foundation for improving the analysis, and modeling capabilities needed to understand and predict ecosystem responses and societal implications.;Carbon Cycle & Ecosystems, Climate Variability & Change;ecosystems, environmental change, permafrost, carbon pools, carbon cycle, vegetation dynamics, societal impacts;Alaska, western Canada;72, 48, -104, -158;boreal summer, boreal fall;4/26/2017;ongoing;3;6/9/2017, 7/21/2018, 9/12/2019, 9/13/2019, 9/16/2019;NASA;Terrestrial Ecology;Diane Wickland;Scott Goetz;NID;Aircraft, Ground-based Platforms, Satellites;G-III, B-200, G-V, Twin Otter, Mooney;G-III: UAVSAR, G-V: LVIS, B-200: AVIRIS, LVIS, AirSWOT, Twin Otter: CFIS, Mooney: ATM-C;Ground sites, flux towers, NEON;NID;156;Aerosols, carbon dioxide, methane, sulfur dioxide, trace gases/trace species, animals/vertebrates, plants, atmospheric feedbacks, climate indicators;1130, 1151, 1157, 1202, 1206, 1807, 1840, 2200, 2355;NID;Blue logo;https://above.nasa.gov/images/ABoVE_Logo_large_blue.png;NASA;Miller et al. 2019: An overview of ABoVE airborne campaign data acquisitions and science opportunities. Environ. Res. Lett., https://doi.org/10.1088/1748-9326/ab0d44;N/A;72;;ORNL;https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=34;;"https://above.nasa.gov/
https://above.nasa.gov/cgi-bin/above_products.pl https://cce-datasharing.gsfc.nasa.gov/publications/search/6/0/
https://above.nasa.gov/profiles_/above_products.html";N/A;DLR;https://www.dlr.de/EN/Home/home_node.html;TRUE;b737d0d8-13f9-46d7-bd4c-ec1a63f4a62f;;"Region of Campaign: multiple shapefile formats available at: https://above.nasa.gov/about.html,
Leads: tons of contact information here https://above.nasa.gov/profiles_/above_people.html,
ALSO NOTE: ABoVE in 2017 sometimes referred to as ""ABoVE Airborne Campaign (ACC)"" with following years intended to supplemnet the data collected in 2017";SMW, SB;3/5/2020;
ABLE;Global Tropospheric Experiment - Atmospheric Boundary Layer Experiments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACEPOL;Aerosol Characterization from Polarimeter and Lidar;"Active/passive remote sensing measurements collected to improve algorithm retrieved profiles of aerosol optical and microphysical properites; preperatory observations relavent for future satellite missions (eg: ACE, PACE ). Also referred to as ACEPOL/LIREX";ACEPOL focused on aerosol retrievals and ground validation for the CALIPSO satellite mission, along with future planned satellite missions. It took place over the Western United States, focusing on California, Nevada, and Arizona. This campaign studied different polarimeters and their capabilities. This campaign also investigated aerosol retrievals using polarimetric and lidar data.;Atmospheric Composition;Aerosols, algorithm validation, remote sensing, aerosol backscatter, LIDAR, ground validation, aerosol particle properties;Western United States;40, 31, -107, -126;boreal fall;10/19/2017;11/9/2017;1;10/26/2017, 11/3/2017, 11/9/2017;NWO, NASA;NID;Hal Maring;Otto Hasekamp;NID;Aircraft, Satellites, Land-based Platforms;ER-2;ER-2: SPEX, AirHARP, AirMSPI, RSP, CPL, HSRL-2;CALIPSO;AERONET, GroundMSPI, CARB AQ Sites;9;Aerosol backscatter, Aerosol optical depth/thickness, Dust/ash/smoke, Aerosols, Trace gases/trace species,Cloud microphysics, LIDAR, aerosol particle properties;1113, 1117, 1125, 1130, 1206, 1414, 3729, 1118;N/A;;;;N/A;CALIPSO;9;;ASDC;https://www-air.larc.nasa.gov/missions/acepol/index.html;;"https://docs.google.com/spreadsheets/d/1lLuwkVcIm0suk0Kca5ehJUNIe_OIcnXl8ZXiTQEiICs/edit#gid=1490523311
https://asp-archive.arc.nasa.gov/ACEPOL/N806NA/
https://www-air.larc.nasa.gov/missions/acepol/index.html
https://earthscience.arc.nasa.gov/acepwg/content/ACE_Polarimeter_Working_Group_ACEPWG_ACEPOL_field_campaign
https://www.nwo.nl/en/research-and-results/research-projects/i/77/27477.html
https://www.google.com/url?q=https://earthscience.arc.nasa.gov/acepwg/content/ACE_Polarimeter_Working_Group_ACEPWG_ACEPOL_field_campaign&sa=D&ust=1559749394361000&usg=AFQjCNHIVKdLVEMGBKeTcvR21lHuPYajXw
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Spring2018.pdf";N/A;SRON;https://www.sron.nl/;FALSE;e0a48b3c-ab3d-4331-b992-367352d5c09c;;need a username and password to download the data;SB;12 December;CW
ACES;Altus Cumulus Electrification Study;The Altus Cumulus Electrification Study (ACES) field campaign focused on validating the Lightning Imaging Sensor (LIS), observing storm electricity budgets, and evaluating lightning-storm relationships. ACES completed a single deployment over the Florida Everglades in August 2002 with the ALTUS II UAV outfitted with a payload including sensors for electric and magnetic fields and atmospheric conductivity. ACES, the first field effort to use a UAV for lightning research, supported NASA’s TRMM mission and the UAV Science Demonstration program.;The Altus Cumulus Electrification Study (ACES) was aimed at addressing 3 primary scientific objectives: the validation of Lightning Imaging Sensor (LIS), storm electric budget, and lightning-storm relationships. ACES was the very first project to use an uninhabited aerial vehicle (UAV) for lightning research, which enabled scientists to gather lightning information in storm environments safely and more directly.;Atmospheric Composition, Weather, Climate Variability & Change, Global Water & Energy Cycle;lightning, storms, storm electric budget, cloud properties;Florida Everglades;26, 23, -80, -83;boreal summer, warm;8/2/2002;8/30/2002;1;8/10/2002, 8/21/2002;NASA;UAV Science Demonstration, TRMM;NID;Richard Blakeslee;Dennis Buechler;Aircraft, Land-based Platforms;ALTUS II;ALTUS II: EFM, EFCM, Gerdien Probe, MSC, DOPS, FGM, Accelerometer, FPDS, Slow Antenna;Ground Stations;Weather Towers, RASS, Rain Gauges, RAOB, Jimsphere, Rocketsonde, DRWP, LDAR, LPLWS, CGLSS NLDN, WSR-88D, WSR-74C;11;Electric Field, Lightning, Atmospheric Electricity, Atmospheric Winds, Convective Clouds/Systems (Observed/analyzed), Lightning, Weather Events;1209, 1210, 1212, 1386, 1458, 1562, 1680;N/A;;;;https://doi.org/10.2514/6.2002-3405;TRMM;5;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/ACES;;"https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2004RS003217
https://www.sciencedirect.com/science/article/pii/S0169809505000785#bbib1
https://ghrc.nsstc.nasa.gov/hydro/?project[0]=ACES#/?_k=bsmvec";N/A;N/A;N/A;FALSE;21b3c5bb-e239-4e1f-90b9-39fc7c875856;There is also an article in Aerospace America magazine from Jan 2003 that highlights a simplified overview of the ACES campaign, but this is not publically/freely accessible.;Review: [Campaign tab]: Significant events should be listed by their dates (also maybe consider 8/10 as an SE, it’s mentioned in https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004RS003217), Ground stations/radar could be listed as non-aircraft platforms, GCMD keywords--the key words and the UUID values aren’t in the same order. Not sure if they’re required to be though. “Convective clouds/systems” should be changed to “cloud clusters” as per the UUID provided, or change the UUID to 1458, Campaign publications is for overview papers, so only one should be listed at most, Consider putting TRMM as the supported NASA mission. It’s mentioned in the papers and the GHRC website as ACES provided ground validation for it. [Instruments]: EFCS -- name in the campaign tab should match the name in the instruments tab. , Magnetic Search Coil (MSC) -- referenced by shortname in the campaign tab, but only longname is provided in the instruments tab, Flux Magnetometer -- referenced as “Fluxgate Magnetometer” in the campaigns tab, Accelerometer-- mentioned in campaign tab but not listed in the instruments tab, Slow antenna -- mentioned in the campaign tab but not listed in the instruments tab [Camp/Dep/Platform/Instmnt]: Consider making PAFB the deployment base as per the science plan, Personally, I couldn’t find a home base mentioned for ALTUS II, but I may have missed it, Aircraft owner--Does GAAS own the aircraft or did they just develop it?;CW;12/4/2019;SB
ACT-America;Atmospheric Carbon and Transport – America;;ACT-America began in July 2016 and concluded 3 years later in July 2019. It was a project designed to investigate the transport of atmospheric carbon dioxide and methane over 3 regions of the eastern US by measuring how the greenhouse gases are transported by weather patterns. The main objective for this field campaign was to better understand the sources and sinks of the gases in order to better predict future climate trends and aid in current climate management strategies.;"Atmospheric Composition,
Weather, Climate Variability and Change, Carbon Cycle & Ecosystems";carbon dioxide, methane, carbon cycle/carbon budget models, greenhouse gases, storms, weather patterns, atmospheric winds, sources/sinks;Eastern US - 3 regions: Midwest, Southeast, and Northeast;49, 26, -67, -124;year round;7/18/2016;7/29/2019;5;N/A;NASA;EVS-2;Ken Jucks;Ken Davis;;Aircraft, Ground-based Platforms, Satellites;C-130, B-200;C-130: MFLL, CPL, Picarro Air, 2-B Technologies Continuous O3, Gen: AtmsState, ESRL Flask, B-200: Picarro Air, 2-B Tech, Gen: AtmsState, ESRL Flask;Ground Sites, Satellites;Picarro Ground Towers, OCO-2;115;methane, carbon dioxide, weather events, sea breezes, atmospheric winds, convective clouds/systems (observed/analyzed);1157, 1151, 1680, 1343, 1386, 1458;N/A;;;;N/A;N/A;7;;ORNL;https://actamerica.ornl.gov/;;"https://act-america.larc.nasa.gov/
https://airbornescience.nasa.gov/flight-reports/C-130H_Hercules_TN436 https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=37 
https://www-air.larc.nasa.gov/missions/ACT-America/ 
Nav Data: https://asp-archive.arc.nasa.gov/ACTAMERICA/";N/A;N/A;N/A;FALSE;b1cc3a0a-eec7-4774-8e31-67be634036c8;"Review: NASA Campaign tab: ORNL has comments with the flight dates that could be used to infer significant events, Couldn’t find the website referencing Ken Jucks as the funding lead, but did find the name Hal Maring from NSPIRES (https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=349799/solicitationId=%7B8501AD49-0806-82C9-7F91-CF74AD5C66DA%7D/viewSolicitationDocument=1/A.30%20EVS2_Amend14_Corrected.pdf), OCO-2 should be under non-aircraft platforms, not instruments; Instruments tab:added the UUID for CPL";only one of the 5 campaigns (deployments) has data uploaded to ORNL. It contains 25 flights. Had difficulty finding published papers (including an overview paper) that weren't conference abstracts for this campaign..just a heads up!;CW;1/22/2019;SB
AfriSAR;AfriSAR;;AfriSAR took place from June 2015 to February 2016 in the tropical forests of Gabon. There were two deployments. NASA participated in the second deployment. AfriSAR sought to study forest canopy height, structure, and topography. It also evaluated biomass retrieval algorithms. Ground and airborne data were collected using soil probes, lidar, and SAR. The data gathered by AfriSAR supports NESIR and GEDI, and it also supports the ESA’s BIOMASS campaign.;Carbon Cycle & Ecosystems;Carbon, tropical forests, canopy height, canopy structure, tropical forest topography, biomass;Gabon tropical forests;0, -2, 12, 9;dry, wet;6/30/2015;2/15/2016;2;N/A;ESA, NASA;Carbon Monitoring System;Kenneth W. Jucks, Kathleen Hibbard, Hank Margolis;Lola Fatoyinbo;;Aircraft, Land-based Platforms;B-200, G-III, Falcon, DO-228;B-200: LVIS, G-III: UAVSAR, Falcon: SETHI, DO-228: F-SAR;Ground stations;Decagon EC-5;32;afforestation/reforestation, forest science, tropical rainforest, biomass, carbon, forest composition/vegetation structure;1046, 1057, 2000, 2024, 2027, 2034;N/A;;;;N/A;NISAR, GEDI;9;;ORNL;https://search.earthdata.nasa.gov/portal/ornldaac/search?m=0.0703125!0!2!1!0!0%2C2&ac=true&fpj=AfriSAR!AfriSAR!AfriSAR, https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=38;;"https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=38
https://lvis.gsfc.nasa.gov/Data/Maps/Gabon2016Map.html
https://www.nasa.gov/centers/armstrong/multimedia/imagegallery/C-20A/AFRC2016-0054-539.html
https://www.nasa.gov/sites/default/files/atoms/files/xpress_afrisar.pdf";YES;ESA, AGEOS, DLR;https://www.esa.int/ , https://www.dlr.de/EN/Home/home_node.html;FALSE;1ffec712-ab76-4104-b31a-e5b6568e2a2f;"Campaign also heavily supported ESA AIRMASS mission
9 data products listed on EarthData Search, only 6 are stored at ORNL. 3 are stored at NSIDC
AGEOS website appears to be broken so no link as included";"very accessible flight data at ORNL, great interface
gabon space agency website seems to be down,";SB;1/23/2020;
AirMOSS;Airborne Microwave Observatory of Subcanopy and Subsurface;The NASA Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) campaign focused on observations of root zone soil moisture (RZSM) and net ecosystem exchange (NEE) of carbon dioxide over a variety of North American biomes across several seasons. AirMOSS completed 34 deployments from 2012-2015, over parts of Canada, the US, and Costa Rica. Airborne observations included P-band synthetic aperture radar (SAR) measurements as well as carbon and other gas concentrations. AirMOSS supports NASA’s carbon cycle and ecosystems, climate, and Earth surface missions.;The NASA Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) investigation provided high-resolution observations of root-zone soil moisture over nine major North American biomes. The campaign goals were to quantify the impact of variations in soil moisture on the estimation of regional carbon fluxes and to extrapolate the reduced-uncertainty estimates of regional carbon fluxes to the continental scale of North America. The AirMOSS campaign used an airborne ultra-high frequency synthetic aperture radar flown on a Gulfstream-III aircraft to derive estimates of soil moisture down to approximately 1.2 meters. Extensive ground, tower, and aircraft in-situ measurements were collected to validate root-zone soil measurements and carbon flux model estimates.;Carbon Cycle & Ecosystems, Earth Surface & Interior;carbon cycle, soil moisture, root zone soil moisture;North America;60, 8, -68, -125;year round;9/18/2012;9/29/2015;34;NID;NASA;EV-1;NID;Mahta Moghaddam;NID;Aircraft, Land-based Platforms;G-III, ALAR;G-III: AirMoss, ALAR: WS-CRDS, BAT probe;Ground Sites;FLUXNET towers, Ground Sensors;174;carbon, carbon dioxide, soil moisture, soil chemistry, carbon, ecosystems, carbon, soil moisture/water content, land surface;2852, 1151, 2250, 2871, 2027, 2022, 2852, 2885, 2917;N/A;;;;https://doi.org/10.1109/RADAR.2012.6212227;Land & Vegetation, Climate;23;;ORNL;https://airmoss.ornl.gov/;;"https://doi.org/10.1109/TGRS.2014.2326839
https://airmoss.ornl.gov/
https://airmoss.jpl.nasa.gov/ 
https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=36
https://airbornescience.jpl.nasa.gov/campaign/airmoss
https://daac.ornl.gov/daacdata/airmoss/";N/A;N/A;N/A;FALSE;e7d80dd2-c0da-4977-9a35-2a4da27e1168;"Does not appear as a ""project"" in earth data search. Number of data products is from earth data search for ""airMOSS"". ORNL site lists 18 campaign datasets. DOI not found.";"Review: Campaign: It looks to me like the deployments were just over North and Central America, even though the website you listed says they were also over South America, I also couldn’t find any significant events. The closest I got was a paper mentioning the two dates the pulled data from to use in their study, but that’s it, I couldn’t find anything listing Anthony Guillory as the project funding lead, I believe campaign publications should only list one overview paper; Instruments: BAT is referred to as ‘BAT probe’ in the Campaign tab";CW;;SB
AirMISR;Airborne Multi-Angle Imaging Spectroradiometer;;Instrument entry for all non-campaign AirMISR flights (includes Facility Instrument operations and Cal/Val efforts).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSR;Advanced Microwave Scanning Radiometer;;CAL/VAL entry for AMSR flights (includes Facility Instrument operations and Cal/Val efforts). Note that AMSR is a space-borne instrument.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARCTAS;Arctic Research of the Composition of the Troposphere from Aircraft and Satellites;The NASA Arctic Research of the Composition of the Troposphere from Aircraft and Satellites (ARCTAS) focused on factors impacting changes in Arctic climate, atmospheric composition, and radiative characteristics, including: mid-latitude pollution, boreal forest fires, aerosol radiative forcing, and chemical processes. ARCTAS had 3 deployments over Alaska, Western Canada, and California during the boreal spring and summer of 2008. Airborne observations were made of several chemical constituents and aerosol properties. ARCTAS was supported by NASA’s Tropospheric Chemistry and Radiation Science programs.;The NASA Arctic Research of the Composition of the Troposphere from Aircraft and Satellites (ARCTAS) mission was based in Alaska and Western Canada to have better understanding of the factors driving current changes in Arctic climate and atmospheric composition. The main factors that were studied were influx of mid-latitude pollution, boreal forest fires, aerosol radiative forcing, and chemical processes. Flights were also conducted in California to improve state emission inventories for greenhouse gases and aerosols and to provide observations to test and improve models of ozone and aerosol pollution. Along with aircraft instruments, the ARCTAS mission utilized satellites to help enhance the the value of NASA satellite observations for Earth science models.;Atmospheric Composition, Climate Variability & Change;atmospheric composition, mid-latitude pollution, chemical processes, boreal forest fires, aerosol radiative forcing, greenhouse gases, ozone, aerosols;Alaska, Western Canada, California;84, 33, -75, -160;boreal spring, boreal summer, warm;4/1/2008;7/14/2008;3;4/6/2008, 4/8/2008, 4/9/2008, 4/15/2008, 4/16/2008, 4/19/2008, 6/24/2008, 7/1/2008, 7/2/2008, 7/4/2008, 7/6/2008, 7/8/2008, 7/9/2008, 7/10/2008;NASA;Tropospheric Chemistry, Radiation Science;James Crawford, Hal Maring;Daniel Jacob, Hanwant Singh;Gao Chen;Aircraft, Land-based Platforms, Satellites;B-200, DC-8, P-3;DC-8: TDL, DIAL, TD-LIF, HR-AMS, Nephelometer, Gen-Chemistry, Aethalometer, CIMS, GC-MS, PILS, PTR-MS, SP2, WAS, IR-CO2, CCN, Spectrometer, P-3: OPC, PSAP, SP2, TDMA, CAR, Nephelometer, ATSP, ATLAS, BBR, AMS, TE49C, CNC, CCN, Gen-Chemistry, Spectrometer, B-200: HSRL, RSP;Satellite, Land-based Platforms, Models;GOME-2, CALIOP, OMI, TES, MLS, MODIS, AIRS, SCIAMACHY, MOPITT, MISR, LIDAR, AERONET, MAX-DOAS;72;Aerosols, Aerosol Backscatter, Aerosol Extinction, Aerosol Optical Depth/Thickness, Chemical Composition, Cloud Condensation Nuclei, Air Quality, Atmospheric Chemistry, Photochemistry, Carbon and Hydrocarbon Compunds, Halocarbons and Halogens, Radiative Forcing, Atmospheric Radiation, Ozone, Oxygen Compounds;1130, 1113, 1114, 1117, 1123, 1124, 1142, 1207, 1198, 1160, 1177, 1245, 1256, 1195, 1196;;;;;https://doi.org/10.5194/acp-10-5191-2010;CALIPSO, Aqua, Terra, Aura, Climate, Atmosphere;8;;GES DISC, ASDC;;;"https://disc.gsfc.nasa.gov/datasets/CAR_ARCTAS_L1C_1/summary
https://www-air.larc.nasa.gov/missions/arctas/arctas.html
https://www-air.larc.nasa.gov/missions/arctas/docs/arctas_data_plan.pdf
https://espo.nasa.gov/arctas
https://www-air.larc.nasa.gov/missions/arctas/docs/arctas_wp.pdf
https://www-air.larc.nasa.gov/cgi-bin/ArcView/arctas
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.364.4188&rep=rep1&type=pdf";N/A;California Air Resources Board, International Polar Year;https://ww2.arb.ca.gov/;FALSE;dd8b2ab7-8545-4f1c-a4e1-6b82961b5fb7;"Earthdata Search Inconsistent: Project = ""ARCTAS"" gives 2 data products, Project = ""ARCTAS_2008"" gives 6 data products, free text search for ""ARCTAS"" gives 10 data products.
There is data at LaRC, according to collections returned by Earthdata Search, and GES DISC and ASDC also have ARCTAS data.
Domain for ipy.org site ""is pending renewal or has expired""";"Review: Campaign tab:Climate Variability & Change could possibly be a Focus Area in addition, I personally think there were 3 deployments because multiple aircraft were used and the overview paper defines it as a deployment. Need Admin opinion on this :), Funding agency should be NASA, and the funding program would be Global Tropospheric Chemistry Program and the acknowledgements of the overview paper includes Radiation Sciences Program too, The overview paper mentions an instrument TLAS, was ATLAS supposed to be this or are they the same thing?, I think there are actually only 8 data products because 2 of the ones on ED Search don’t appear to be for ARCTAS; IOP/SE tab:Each significant event isn’t an iop in this case. There is most likely two iops for this campaign, one for each deployment (maybe 3 if CA is considered its own deployment?) and you give the date ranges for those iops. Then when you list the sig events, you label them with whichever iop they occurred in; Camp/Dep/Pltfrm tab: It looks like here you did make a 3rd deployment. If so, the deployment and campaign tabs should have it as well";AS;1/23/2020;SB
