;campaign shortname;ADMG deployment name;start_date;end_date;number flights;deployment longname;Deployment Alias(es);Geographical Region Type(s);Platforms Active;notes;Study Region Bounds/Map;Field/Ground Site Map;Flight Track(s)
;HS3;dep_2012;8/28/2012;11/6/2012;6;n/a;;;global hawk AV-1, AV-6;Global hawk flights;;;
;HS3;dep_2013;8/20/2013;9/26/2013;9;n/a;;;global hawk AV-1, AV-6;Global hawk flights;;;
;HS3;dep_2014;8/26/2014;10/17/2014;13;n/a;;;global hawk AV-6, WB-57;Global hawk flights (10) and WB57 flights (3);;;
;OLYMPEX;dep_2015;11/1/2015;5/1/2016;58;n/a;n/a;mountains, rainforest, mid-latitude, maritime;DC-8, ER-2, UND Citation II, ASO;ASO flew twice within the deployment;;;
;IPHEx;dep_2014;5/1/2014;6/15/2014;46;n/a;;;ER-2,  Citation;;;;
;CARVE;dep_2012;5/23/2012;10/30/2012;50;n/a;;;C-23 Sherpa;;;;
;CARVE;dep_2013;2/5/2013;11/25/2013;102;n/a;;;C-23 Sherpa;;;;
;CARVE;dep_2014;2/13/2014;11/9/2014;108;n/a;;;C-23 Sherpa;;;;
;CARVE;dep_2015;2/10/2015;11/12/2015;114;n/a;;;C-23 Sherpa;;;;
;DC3;dep_2012;5/18/2012;6/30/2012;51;n/a;;;DC-8, Falcon, G-V;;;;
;GCPEx;dep_2012;1/15/2012;3/4/2012;30;n/a;;;DC-8, Citation, CV-580;Convair 580 was primarily used during Feb;;;
;ATom;dep_2016;07/29/2016;08/23/2016;11;n/a;ATom-1;;NASA DC-8-AFRC;;;;
;ATom;dep_2017a;01/26/2017;02/21/2017;11;n/a;ATom-2;;NASA DC-8-AFRC;;;;
;ATom;dep_2017b;09/28/2017;10/27/2017;13;n/a;ATom-3;;NASA DC-8-AFRC;;;;
;ATom;dep_2018;04/24/2018;05/21/2018;13;n/a;ATom-4;;NASA DC-8-AFRC;;;;
;SEAC4RS;dep_2013;08/01/2013;09/23/2013;58;n/a;;;DC-8, ER-2, Learjet;;;;
;BOREAS;dep_1994;2/2/94;9/19/94;359;n/a;;;C-130, DC-8, ER-2, Chieftain, Twin Otter, Aerocommander, Long EZ, UWKA, Electra, CV-580, UH-1;PA-34 not used in this deployment;;;
;BOREAS;dep_1996;2/27/96;10/20/96;219;n/a;;;C-130, DC-8, ER-2, Chieftain, PA-34, Twin Otter;;;;
;ACES;dep_2002;8/2/2002;8/30/2002;11;n/a;n/a;;ALTUS II;;;;
;AirMOSS;dep_2012a;9/18/2012;9/20/2012;2;Western US Fall 2012;;;G-III, ALAR;;;;
;AirMOSS;dep_2012b;10/2/2012;10/11/2012;6;Canada, Oregon Fall 2012;;;G-III, ALAR;;;;
;AirMOSS;dep_2012c;10/12/2012;10/22/2012;6;Eastern US Fall 2012;;;G-III, ALAR;;;;
;AirMOSS;dep_2012d;10/23/2012;10/30/2012;5;Central US Fall 2012;;;G-III, ALAR;;;;
;AirMOSS;dep_2013a;2/19/2013;2/25/2013;4;Costa Rica Winter 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013b;4/11/2013;4/19/2013;4;Costa Rica Spring 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013c;4/20/2013;5/1/2013;7;Canada, OR Spring 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013d;5/28/2013;6/7/2013;6;Eastern US Spring 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013e;6/10/2013;6/21/2013;6;Mexico, OK Summer 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013f;7/6/2013;7/14/2013;6;Eastern US Summer 2013a;;;G-III, ALAR;;;;
;AirMOSS;dep_2013g;7/15/2013;7/25/2013;6;Southern US Summer 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013h;7/26/2013;8/3/2013;6;Canada, OR Summer 2013;;;G-III, ALAR;;;;
;AirMOSS;dep_2013i;8/18/2013;8/27/2013;6;Eastern US Summer 2013b;;;G-III, ALAR;;;;
;AirMOSS;dep_2013j;9/27/2013;9/30/2013;1;Southern US Fall 2013a;;;G-III, ALAR;;;;
;AirMOSS;dep_2013k;11/19/2013;11/21/2013;3;Southern US Fall 2013b;;;G-III, ALAR;;;;
;AirMOSS;dep_2014a;3/24/2014;4/2/2014;3;Costa Rica Spring 2014;;;G-III, ALAR;;;;
;AirMOSS;dep_2014b;4/14/2014;4/25/2014;6;Mexico Spring 2014;;;G-III, ALAR;;;;
;AirMOSS;dep_2014c;5/27/2014;6/4/2014;7;Eastern US Spring 2014;;;G-III, ALAR;;;;
;AirMOSS;dep_2014d;6/6/2014;6/16/2014;5;Canada, OR Summer 2014a;;;G-III, ALAR;;;;
;AirMOSS;dep_2014e;6/26/2014;7/7/2014;6;Eastern US Summer 2014a;;;G-III, ALAR;;;;
;AirMOSS;dep_2014f;7/8/2014;7/19/2014;5;Southern US Summer 2014;;;G-III, ALAR;;;;
;AirMOSS;dep_2014g;8/7/2014;8/14/2014;4;Canada, OR Summer 2014b;;;G-III, ALAR;;;;
;AirMOSS;dep_2014h;8/18/2014;8/27/2014;6;Eastern US Summer 2014b;;;G-III, ALAR;;;;
;AirMOSS;dep_2014i;9/28/2014;10/8/2014;6;Canada, OR Fall 2014;;;G-III, ALAR;;;;
;AirMOSS;dep_2014j;10/14/2014;10/23/2014;6;Southern US Fall 2014;;;G-III, ALAR;;;;
;AirMOSS;dep_2015a;2/17/2015;2/25/2015;3;Costa Rica Winter 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015b;4/3/2015;4/14/2015;4;Canada, AK, OR Spring 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015c;4/15/2015;4/24/2015;5;Mexico, OK Spring 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015d;5/20/15;5/24/2015;4;Eastern US Spring 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015e;6/29/2015;7/6/2015;3;Canada Summer 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015f;8/7/2015;8/18/2015;8;Southern US Summer 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015g;8/19/2015;8/27/2015;6;Canada, OR Summer 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015h;9/1/2015;9/10/2015;7;Eastern US, AZ Fall 2015;;;G-III, ALAR;;;;
;AirMOSS;dep_2015i;9/22/2015;9/29/2015;6;Canada, OR Fall 2015;;;G-III, ALAR;;;;
;CAMEX;dep_1993;9/7/1993;10/8/1993;38;CAMEX-1;;;ER-2;;;;
